file,In Merritt
0002.06.3439.01,Yes
0002.06.3439.02,Yes
0002.06.3440.01,Yes
0002.06.3440.02,Yes
0002.06.3441.01,Yes
0002.06.3441.02,Yes
0002.06.3442.01,Yes
0002.06.3442.02,Yes
0002.06.3443.01,Yes
0002.06.3443.02,Yes
0002.06.3444.01,Yes
0002.06.3444.02,Yes
0002.06.3445.01,Yes
0002.06.3445.02,Yes
0002.06.3446.01,Yes
0002.06.3446.02,Yes
0002.06.3447.01,Yes
0002.06.3447.02,Yes
0002.06.3448.01,Yes
0002.06.3448.02,Yes
0002.06.3449.01,Yes
0002.06.3449.02,Yes
0002.06.3450.01,Yes
0002.06.3450.02,Yes
0002.06.3451.01,Yes
0002.06.3451.02,Yes
0002.06.3452.01,Yes
0002.06.3452.02,Yes
0002.06.3453.01,Yes
0002.06.3453.02,Yes
0002.06.3454.01,Yes
0002.06.3454.02,Yes
0002.06.3455.01,Yes
0002.06.3455.02,Yes
0002.06.3455.03,Yes
0002.06.3455.04,Yes
0002.06.3455.05,Yes
0002.06.3455.06,Yes
0002.06.3456.01,Yes
0002.06.3456.02,Yes
0002.06.3457.01,Yes
0002.06.3457.02,Yes
0002.06.3458.01,Yes
0002.06.3458.02,Yes
0002.06.3459.01,Yes
0002.06.3459.02,Yes
0002.06.3460.01,Yes
0002.06.3460.02,Yes
0002.06.3461.01,Yes
0002.06.3461.02,Yes
0002.06.3462.01,Yes
0002.06.3462.02,Yes
0002.06.3463.01,Yes
0002.06.3463.02,Yes
0002.06.3464.01,Yes
0002.06.3464.02,Yes
0002.06.3464.03,Yes
0002.06.3465.01,Yes
0002.06.3465.02,Yes
0002.06.3465.03,Yes
0002.06.3465.04,Yes
0002.06.3466.01,Yes
0002.06.3466.02,Yes
0002.06.3466.03,Yes
0002.06.3466.04,Yes
0002.06.3476.02,Yes
0002.06.3477.01,Yes
0002.06.3477.02,Yes
0002.06.3478.01,Yes
0002.06.3478.02,Yes
0002.06.3479.01,Yes
0002.06.3479.02,Yes
0002.06.3480.01,Yes
0002.06.3480.02,Yes
0002.06.3481.01,Yes
0002.06.3481.02,Yes
0002.06.3482.01,Yes
0002.06.3482.02,Yes
0002.06.3483.01,Yes
0002.06.3483.02,Yes
0002.06.3484.01,Yes
0002.06.3484.02,Yes
0002.06.3485.01,Yes
0002.06.3485.02,Yes
0002.06.3486.01,Yes
0002.06.3486.02,Yes
0002.06.3487.01,Yes
0002.06.3487.02,Yes
0002.06.3488.01,Yes
0002.06.3488.02,Yes
0002.06.3489.01,Yes
0002.06.3489.02,Yes
0002.06.3490.01,Yes
0002.06.3490.02,Yes
0002.06.3491.01,Yes
0002.06.3491.02,Yes
0002.06.3492.01,Yes
0002.06.3492.02,Yes
0002.06.3493.01,Yes
0002.06.3493.02,Yes
0002.06.3494.01,Yes
0002.06.3494.02,Yes
0002.06.3495.01,Yes
0002.06.3495.02,Yes
0002.06.3496.01,Yes
0002.06.3496.02,Yes
0002.06.3497.01,Yes
0002.06.3497.02,Yes
0002.06.3498.01,Yes
0002.06.3498.02,Yes
0002.06.3499.01,Yes
0002.06.3499.02,Yes
0002.06.3500.01,Yes
0002.06.3500.02,Yes
0002.06.3501.01,Yes
0002.06.3501.02,Yes
0002.06.3502.01,Yes
0002.06.3502.02,Yes
0002.06.3503.01,Yes
0002.06.3503.02,Yes
0002.06.3504.01,Yes
0002.06.3504.02,Yes
0002.06.3505.01,Yes
0002.06.3505.02,Yes
0002.06.3506.01,Yes
0002.06.3506.02,Yes
0002.06.3507.01,Yes
0002.06.3507.02,Yes
0002.06.3508.01,Yes
0002.06.3508.02,Yes
0002.06.3509.01,Yes
0002.06.3509.02,Yes
0002.06.3510.01,Yes
0002.06.3510.02,Yes
0002.06.3511.01,Yes
0002.06.3511.02,Yes
0002.06.3512.01,Yes
0002.06.3512.02,Yes
0002.06.3513.01,Yes
0002.06.3513.02,Yes
0002.06.3514.01,Yes
0002.06.3514.02,Yes
0002.06.3515.01,Yes
0002.06.3515.02,Yes
0002.06.3516.01,Yes
0002.06.3516.02,Yes
0002.06.3517.01,Yes
0002.06.3517.02,Yes
0002.06.3518.01,Yes
0002.06.3518.02,Yes
0002.06.3519.01,Yes
0002.06.3519.02,Yes
0002.06.3520.01,Yes
0002.06.3520.02,Yes
0002.06.3521.01,Yes
0002.06.3521.02,Yes
0002.06.3522.01,Yes
0002.06.3522.02,Yes
0002.06.3523.01,Yes
0002.06.3523.02,Yes
0002.06.3524.01,Yes
0002.06.3524.02,Yes
0002.06.3525.01,Yes
0002.06.3525.02,Yes
0002.06.3526.01,Yes
0002.06.3526.02,Yes
0002.06.3527.01,Yes
0002.06.3527.02,Yes
0002.06.3528.01,Yes
0002.06.3528.02,Yes
0002.06.3529,Yes
0002.06.3530.01,Yes
0002.06.3530.02,Yes
0002.06.3531.01,Yes
0002.06.3531.02,Yes
0002.06.3532.01,Yes
0002.06.3532.02,Yes
0002.06.3533.01,Yes
0002.06.3533.02,Yes
0002.06.3534,Yes
0002.06.3535.01,Yes
0002.06.3535.02,Yes
0002.06.3536.01,Yes
0002.06.3536.02,Yes
0002.06.3537.01,Yes
0002.06.3537.02,Yes
0002.06.3538.01,Yes
0002.06.3538.02,Yes
0002.06.3539.01,Yes
0002.06.3539.02,Yes
0002.06.3540.01,Yes
0002.06.3540.02,Yes
0002.06.3541.01,Yes
0002.06.3541.02,Yes
0002.06.3542.01,Yes
0002.06.3542.02,Yes
0002.06.3543.01,Yes
0002.06.3543.02,Yes
0002.06.3544.01,Yes
0002.06.3544.02,Yes
0002.06.3545.01,Yes
0002.06.3746,Yes
0002.06.3747.01,Yes
0002.06.3747.02,Yes
0002.06.3748.01,Yes
0002.06.3748.02,Yes
0002.06.3749.01,Yes
0002.06.3749.02,Yes
0002.06.3750.01,Yes
0002.06.3750.02,Yes
0002.06.3751.01,Yes
0002.06.3751.02,Yes
0002.06.3752.01,Yes
0002.06.3752.02,Yes
0002.06.3753.01,Yes
0002.06.3753.02,Yes
0002.06.3754.01,Yes
0002.06.3754.02,Yes
0002.06.3755.01,Yes
0002.06.3755.02,Yes
0002.06.3756.01,Yes
0002.06.3756.02,Yes
0002.06.3757.01,Yes
0002.06.3757.02,Yes
0002.06.3758.01,Yes
0002.06.3758.02,Yes
0002.06.3759.01,Yes
0002.06.3759.02,Yes
0002.06.3760.01,Yes
0002.06.3760.02,Yes
0002.06.3761.01,Yes
0002.06.3761.02,Yes
0002.06.3762.01,Yes
0002.06.3762.02,Yes
0002.06.3763,Yes
0002.06.3764,Yes
0002.06.3765,Yes
0002.06.3766,Yes
0002.06.3767,Yes
0002.06.3768,Yes
0002.06.3769,Yes
0002.06.3770,Yes
0002.06.3771,Yes
0002.06.3772,Yes
0002.06.3773,Yes
0002.06.3774,Yes
0002.06.3775,Yes
0002.06.3776,Yes
0002.06.3777,Yes
0002.06.3778,Yes
0002.06.3779.01,Yes
0002.06.3779.02,Yes
0002.06.3780.01,Yes
0002.06.3780.02,Yes
0002.06.3781.01,Yes
0002.06.3781.02,Yes
0002.06.3782.01,Yes
0002.06.3782.02,Yes
0002.06.3783.01,Yes
0002.06.3783.02,Yes
0002.06.3784.01,Yes
0002.06.3784.02,Yes
0002.06.3785.01,Yes
0002.06.3785.02,Yes
0002.06.3786.01,Yes
0002.06.3786.02,Yes
0002.06.3787.01,Yes
0002.06.3787.02,Yes
0002.06.3788.01,Yes
0002.06.3788.02,Yes
0002.06.3789.01,Yes
0002.06.3789.02,Yes
0002.06.3790.01,Yes
0002.06.3790.02,Yes
0002.06.3791.01,Yes
0002.06.3791.02,Yes
0002.06.3792.01,Yes
0002.06.3792.02,Yes
0002.06.3793.01,Yes
0002.06.3793.02,Yes
0002.06.3793.03,Yes
0002.06.3794.01,Yes
0002.06.3794.02,Yes
0002.06.3794.03,Yes
0002.06.3795.01,Yes
0002.06.3795.02,Yes
0002.06.3795.03,Yes
0002.06.3795.04,Yes
0002.06.3795.05,Yes
0002.06.3795.06,Yes
0002.06.3796.01,Yes
0002.06.3796.02,Yes
0002.06.3796.03,Yes
0002.06.3797.01,Yes
0002.06.3797.02,Yes
0002.06.3797.03,Yes
0002.06.3797.04,Yes
0002.06.3797.05,Yes
0002.06.3798.01,Yes
0002.06.3798.02,Yes
0002.06.3798.03,Yes
0002.06.3798.04,Yes
0002.06.3799.01,Yes
0002.06.3799.02,Yes
0002.06.3799.03,Yes
0002.06.3799.04,Yes
0002.06.3799.05,Yes
0002.06.3799.06,Yes
0002.06.3800.01,Yes
0002.06.3800.02,Yes
0002.06.3800.03,Yes
0002.06.3800.04,Yes
0002.06.3801.01,Yes
0002.06.3801.02,Yes
0002.06.3801.03,Yes
0002.06.3801.04,Yes
0002.06.3801.05,Yes
0002.06.3802.01,Yes
0002.06.3802.02,Yes
0002.06.4779.02,Yes
0002.06.4780.01,Yes
0002.06.4781.02,Yes
0002.06.4782.01,Yes
0002.06.4783.02,Yes
0002.06.4784.01,Yes
0002.06.4784.02,Yes
0002.06.4785.01,Yes
0002.06.4785.02,Yes
0002.06.4786.01,Yes
0002.06.4786.02,Yes
0002.06.4787.02,Yes
0002.06.4788.01,Yes
0002.06.4788.02,Yes
0002.06.4789.01,Yes
0002.06.4789.02,Yes
0002.06.4790,Yes
0002.06.4791.02,Yes
0002.06.4792.01,Yes
0002.06.4792.02,Yes
0002.06.4793.01,Yes
0002.06.4793.02,Yes
0002.06.4794.01,Yes
0002.06.4795.02,Yes
0002.06.4796.01,Yes
0002.06.4797,Yes
0002.06.4798,Yes
0002.06.4799.01,Yes
0002.06.4800,Yes
0002.06.4801.02,Yes
0002.06.4802.01,Yes
0002.06.4804.01,Yes
0002.06.4804.02,Yes
0002.06.4806.01,Yes
0002.06.4806.02,Yes
0002.06.4807.02,Yes
0002.06.4808.01,Yes
0002.06.4808.02,Yes
0002.06.4809.01,Yes
0002.06.4809.02,Yes
0002.06.4810.01,Yes
0002.06.4810.02,Yes
0002.06.4811.02,Yes
0002.06.4812.01,Yes
0002.06.4812.02,Yes
0002.06.4813.01,Yes
0002.06.4813.02,Yes
0002.06.4814.01,Yes
0002.06.4815.02,Yes
0002.06.4816.01,Yes
0002.06.4817.02,Yes
0002.06.4818,Yes
0002.06.4819,Yes
0002.06.4820,Yes
0002.06.4822,Yes
0002.06.4823,Yes
0002.06.4824,Yes
0002.06.4825,Yes
0002.06.4827,Yes
0002.06.4829,Yes
0002.06.4831,Yes
0002.06.4832,Yes
0002.06.4833,Yes
0002.06.4834,Yes
0002.06.4835,Yes
0002.06.4836,Yes
0002.06.4837.01,Yes
0002.06.4838.01,Yes
0002.06.4839.02,Yes
0002.06.4840.01,Yes
0002.06.4841.02,Yes
0002.06.4842.01,Yes
0002.06.4843,Yes
0002.06.4844,Yes
0002.06.4846,Yes
0002.06.4847,Yes
0002.06.4848,Yes
0002.06.4849,Yes
0002.06.4850,Yes
0002.06.4851,Yes
0002.06.4852,Yes
0002.06.4855,Yes
0002.06.4856,Yes
0002.06.4857,Yes
0002.06.4858,Yes
0002.06.4859,Yes
0002.06.4860,Yes
0002.06.4862,Yes
0002.06.4863,Yes
0002.06.4864,Yes
0002.06.4865,Yes
0002.06.4867,Yes
0002.06.4869,Yes
0002.06.4872,Yes
0002.06.4873,Yes
0002.06.4874,Yes
0002.06.4875,Yes
0002.06.4880,Yes
0002.06.4881,Yes
0002.06.4883,Yes
0002.06.4884,Yes
0002.06.4886,Yes
0002.06.4887,Yes
0002.06.4888,Yes
0002.06.4889,Yes
0002.06.4890,Yes
0002.06.4891,Yes
0002.06.4892,Yes
0002.06.4895,Yes
0002.06.4896,Yes
0002.06.4897,Yes
0002.06.4898,Yes
0002.06.4899,Yes
0002.06.4900,Yes
0002.06.4901,Yes
0002.06.4903,Yes
0002.06.4904,Yes
0002.06.4906,Yes
0002.06.4907,Yes
0002.06.4908,Yes
0002.06.4909,Yes
0002.06.4910,Yes
0002.06.4911,Yes
0002.06.4912,Yes
0002.06.4915,Yes
0002.06.4916,Yes
0002.06.4917,Yes
0002.06.4918,Yes
0002.06.4919,Yes
0002.06.4922,Yes
0002.06.4923,Yes
0002.06.4924,Yes
0002.06.4925,Yes
0002.06.4931,Yes
0002.06.4932,Yes
0002.06.4933,Yes
0002.06.4934,Yes
0002.06.4935,Yes
0002.06.4936,Yes
0002.06.4938,Yes
0002.06.4940,Yes
0002.06.4941,Yes
0002.06.4943,Yes
0002.06.4944,Yes
0002.06.4946,Yes
0002.06.4947,Yes
0002.06.4948,Yes
0002.06.4949,Yes
0002.06.4950,Yes
0002.06.4951,Yes
0002.06.4956,Yes
0002.06.4957,Yes
0002.06.4958,Yes
0002.06.4959,Yes
0002.06.4960,Yes
0002.06.4962,Yes
0002.06.4963,Yes
0002.06.4964,Yes
0002.06.4965,Yes
0002.06.4967,Yes
0002.06.4969,Yes
0002.06.4971,Yes
0002.06.4972,Yes
0002.06.4973,Yes
0002.06.4974,Yes
0002.06.4975,Yes
0002.06.4976,Yes
0002.06.4978,Yes
0002.06.4980,Yes
0002.06.4981,Yes
0002.06.4986,Yes
0002.06.4987,Yes
0002.06.4988,Yes
0002.06.4989,Yes
0002.06.4990,Yes
0002.06.4991,Yes
0002.06.4992,Yes
0002.06.4995,Yes
0002.06.4996,Yes
0002.06.4997,Yes
0002.06.4998,Yes
0002.06.4999,Yes
0002.06.5000,Yes
0002.06.5001,Yes
0002.06.5006,Yes
0002.06.5007,Yes
0002.06.5008,Yes
0002.06.5009,Yes
0002.06.5010,Yes
0002.06.5011,Yes
0002.06.5013,Yes
0002.06.5014,Yes
0002.06.5016,Yes
0002.06.5017,Yes
0002.06.5018,Yes
0002.06.5019,Yes
0002.06.5021,Yes
0002.06.5022,Yes
0002.06.5023,Yes
0002.06.5024,Yes
0002.06.5025,Yes
0002.06.5026,Yes
0002.06.5028,Yes
0002.06.5030,Yes
0002.06.5032,Yes
0002.06.5033,Yes
0002.06.5034,Yes
0002.06.5035,Yes
0002.06.5037,Yes
0002.06.5039,Yes
0002.06.5040,Yes
0002.06.5041,Yes
0002.06.5042,Yes
0002.06.5045,Yes
0002.06.5046,Yes
0002.06.5047,Yes
0002.06.5048,Yes
0002.06.5049,Yes
0002.06.5050,Yes
0002.06.5051,Yes
0002.06.5053,Yes
0002.06.5054,Yes
0002.06.5056.01,Yes
0002.06.5057.02,Yes
0002.06.5058.02,Yes
0002.06.5059.01,Yes
0002.06.5060.02,Yes
0002.06.5061,Yes
0002.06.5062,Yes
0002.06.5063,Yes
0002.06.5064,Yes
0002.06.5065,Yes
0002.06.5066,Yes
0002.06.5068,Yes
0002.06.5072,Yes
0002.06.5073,Yes
0002.06.5074,Yes
0002.06.5075,Yes
0002.06.5080,Yes
0002.06.5081,Yes
0002.06.5082,Yes
0002.06.5085,Yes
0002.06.5086,Yes
0002.06.5087,Yes
0002.06.5088,Yes
0002.06.5089,Yes
0002.06.5090,Yes
0002.06.5091,Yes
0002.06.5093,Yes
0002.06.5094,Yes
0002.06.5096,Yes
0002.06.5097,Yes
0002.06.5098,Yes
0002.06.5099,Yes
0002.06.5100,Yes
0002.06.5101,Yes
0002.06.5102,Yes
0002.06.5105,Yes
0002.06.5106,Yes
0002.06.5107,Yes
0002.06.5108,Yes
0002.06.5109,Yes
0002.06.5110,Yes
0002.06.5111,Yes
0002.06.5112.01,Yes
0002.06.5113,Yes
0002.06.5114.01,Yes
0002.06.5114.02,Yes
0002.06.5116,Yes
0002.06.5117,Yes
0002.06.5118,Yes
0002.06.5119.01,Yes
0002.06.5120.02,Yes
0002.06.5121.01,Yes
0002.06.5121.02,Yes
0002.06.5122.01,Yes
0002.06.5122.02,Yes
0002.06.5123.01,Yes
0002.06.5123.02,Yes
0002.06.5124.02,Yes
0002.06.5125.01,Yes
0002.06.5127.01,Yes
0002.06.5128.01,Yes
0002.06.5129.02,Yes
0002.06.5130,Yes
0002.06.5131.01,Yes
0002.06.5132.02,Yes
0002.06.5133.01,Yes
0002.06.5134.01,Yes
0002.06.5134.02,Yes
0002.06.5135.01,Yes
0002.06.5135.02,Yes
0002.06.5136.02,Yes
0002.06.5137,Yes
0002.06.5139,Yes
0002.06.5140,Yes
0002.06.5141,Yes
0002.06.5142,Yes
0002.06.5144.01,Yes
0003.01.0001,Yes
0004.01.0021.01,Yes
0004.01.0021.02,Yes
0004.01.0022.01,Yes
0004.01.0022.02,Yes
0004.01.0023.01,Yes
0004.01.0023.02,Yes
0004.01.0024,Yes
0004.01.0025,Yes
0004.01.0026,Yes
0004.01.0027,Yes
0004.01.0028,Yes
0013.01.0004,Yes
0042.01.0189.01,Yes
0042.01.0189.02,Yes
0042.01.0189.03,Yes
0042.01.0189.04,Yes
0042.01.0189.05,Yes
0042.01.0189.06,Yes
0042.01.0189.07,Yes
0042.01.0189.08,Yes
0042.01.0189.09,Yes
0042.01.0189.10,Yes
0042.01.0189.11,Yes
0042.01.0190.01,Yes
0042.01.0190.02,Yes
0042.01.0191,Yes
0042.01.0192.01,Yes
0042.01.0192.02,Yes
0042.01.0192.03,Yes
0042.01.0192.04,Yes
0042.01.0192.05,Yes
0042.01.0192.06,Yes
0042.01.0193.01,Yes
0042.01.0193.02,Yes
0042.01.0193.03,Yes
0042.01.0193.04,Yes
0042.01.0194,Yes
0042.01.0195,Yes
0042.01.0196,Yes
0042.01.0197,Yes
0042.01.0198,Yes
0042.01.0199,Yes
0042.01.0200,Yes
0042.01.0201,Yes
0042.01.0202,Yes
0042.01.0203,Yes
0042.01.0204,Yes
0042.01.0205,Yes
0042.01.0206,Yes
0042.01.0207,Yes
0042.01.0208,Yes
0042.01.0209,Yes
0042.01.0210.01,Yes
0042.01.0210.02,Yes
0042.01.0210.03,Yes
0042.01.0211.01,Yes
0042.01.0211.02,Yes
0042.01.0212.01,Yes
0042.01.0212.02,Yes
0042.01.0212.03,Yes
0042.01.0212.04,Yes
0042.01.0212,Yes
0042.01.0213,Yes
0042.01.0214,Yes
0042.01.0215,Yes
0042.01.0216,Yes
0042.01.0217,Yes
0042.01.0218,Yes
0042.01.0219,Yes
0042.01.0220,Yes
0042.01.0221,Yes
0042.01.0222,Yes
0042.01.0223,Yes
0042.01.0224,Yes
0042.01.0225,Yes
0042.01.0226,Yes
0042.01.0227,Yes
0042.01.0228,Yes
0042.01.0229,Yes
0042.01.0230,Yes
0042.01.0231,Yes
0042.01.0232,Yes
0042.01.0233,Yes
0042.01.0234,Yes
0042.01.0235,Yes
0042.01.0236.01,Yes
0042.01.0236.02,Yes
0042.01.0236.03,Yes
0042.01.0236.04,Yes
0042.01.0236.05,Yes
0042.01.0237.01,Yes
0042.01.0237.02,Yes
0042.01.0237.03,Yes
0042.01.0238,Yes
0042.01.0239,Yes
0042.01.0240.01,Yes
0042.01.0240.02,Yes
0042.01.0241,Yes
0042.01.0242,Yes
0042.01.0243,Yes
0042.01.0244.01,Yes
0042.01.0244.02,Yes
0042.01.0245.01,Yes
0042.01.0245.02,Yes
0042.01.0245.03,Yes
0042.01.0245.04,Yes
0042.01.0246,Yes
0042.01.0247,Yes
0042.01.0248,Yes
0042.01.0249,Yes
0042.01.0250,Yes
0042.01.0251,Yes
0042.01.0252,Yes
0042.01.0253,Yes
0042.01.0254,Yes
0042.01.0255,Yes
0042.01.0256.01,Yes
0042.01.0256.02,Yes
0042.01.0256.03,Yes
0042.01.0257,Yes
0042.01.0258.01,Yes
0042.01.0258.02,Yes
0042.01.0258.03,Yes
0042.01.0259,Yes
0042.01.0260,Yes
0042.01.0261,Yes
0042.01.0262,Yes
0042.01.0263,Yes
0042.01.0264,Yes
0042.01.0265,Yes
0042.01.0266,Yes
0042.01.0267.01,Yes
0042.01.0267.02,Yes
0042.01.0268.01,Yes
0042.01.0268.02,Yes
0042.01.0268.03,Yes
0042.01.0268.04,Yes
0042.01.0268.05,Yes
0042.01.0269.01,Yes
0042.01.0269.02,Yes
0042.01.0269.03,Yes
0042.01.0269.04,Yes
0042.01.0269.05,Yes
0042.01.0269.06,Yes
0042.01.0269.07,Yes
0042.01.0269.08,Yes
0042.01.0269.09,Yes
0042.01.0269.10,Yes
0042.01.0269.11,Yes
0042.01.0270.01,Yes
0042.01.0270.02,Yes
0042.01.0270.03,Yes
0042.01.0270.04,Yes
0042.01.0270.05,Yes
0042.01.0270.06,Yes
0042.01.0270.07,Yes
0042.01.0270.08,Yes
0042.01.0271.01,Yes
0042.01.0271.02,Yes
0042.01.0271.03,Yes
0042.01.0271.04,Yes
0042.01.0271.05,Yes
0042.01.0271.06,Yes
0042.01.0271.07,Yes
0042.01.0272.01,Yes
0042.01.0272.02,Yes
0042.01.0272.03,Yes
0042.01.0272.04,Yes
0042.01.0272.05,Yes
0042.01.0272.06,Yes
0042.01.0272.07,Yes
0042.01.0272.08,Yes
0042.01.0272.09,Yes
0042.01.0273.01,Yes
0042.01.0273.02,Yes
0042.01.0273.03,Yes
0042.01.0273.04,Yes
0042.01.0273.05,Yes
0042.01.0273.06,Yes
0042.01.0273.07,Yes
0042.01.0273.08,Yes
0042.01.0273.09,Yes
0042.01.0273.10,Yes
0042.01.0273.11,Yes
0042.01.0273.12,Yes
0042.01.0273.13,Yes
0042.01.0273.14,Yes
0042.01.0274.01,Yes
0042.01.0274.02,Yes
0042.01.0274.03,Yes
0042.01.0274.04,Yes
0042.01.0274.05,Yes
0042.01.0274.06,Yes
0042.01.0274.07,Yes
0042.01.0274.08,Yes
0042.01.0274.09,Yes
0042.01.0274.10,Yes
0042.01.0274.11,Yes
0042.01.0274.12,Yes
0042.01.0274.13,Yes
0042.01.0274.14,Yes
0042.01.0274.15,Yes
0042.01.0274.16,Yes
0042.01.0275.01,Yes
0042.01.0275.02,Yes
0042.01.0276,Yes
0042.01.0277,Yes
0042.01.0278,Yes
0042.01.0279,Yes
0042.01.0280,Yes
0042.01.0281,Yes
0042.01.0282,Yes
0042.01.0283,Yes
0042.01.0284,Yes
0042.01.0285,Yes
0042.01.0286,Yes
0042.01.0287,Yes
0042.01.0288,Yes
0042.01.0289,Yes
0042.01.0290,Yes
0042.01.0291,Yes
0042.01.0292,Yes
0042.01.0293,Yes
0042.01.0294,Yes
0042.01.0295,Yes
0042.01.0296,Yes
0042.01.0297,Yes
0042.01.0298,Yes
0042.01.0299,Yes
0042.01.0300,Yes
0042.01.0301,Yes
0042.01.0302,Yes
0042.01.0303,Yes
0042.01.0304,Yes
0042.01.0305,Yes
0042.01.0306,Yes
0042.01.0307,Yes
0042.01.0308,Yes
0042.01.0309,Yes
0042.01.0310,Yes
0042.01.0311,Yes
0042.01.0312,Yes
0042.01.0313,Yes
0042.01.0314,Yes
0042.01.0315,Yes
0042.01.0316,Yes
0042.01.0317,Yes
0042.01.0318,Yes
0042.01.0319,Yes
0042.01.0320,Yes
0042.01.0321,Yes
0042.01.0322,Yes
0042.01.0323,Yes
0042.01.0324,Yes
0042.01.0325,Yes
0042.01.0326,Yes
0042.01.0327,Yes
0042.01.0328,Yes
0042.01.0329,Yes
0042.01.0330,Yes
0042.01.0331,Yes
0042.01.0332,Yes
0042.01.0333,Yes
0042.01.0334.01,Yes
0042.01.0334.02,Yes
0042.01.0335.01,Yes
0042.01.0335.02,Yes
0042.01.0336,Yes
0042.01.0337.01,Yes
0042.01.0337.02,Yes
0042.01.0338.01,Yes
0042.01.0338.02,Yes
0042.01.0339.01,Yes
0042.01.0339.02,Yes
0042.01.0340.01,Yes
0042.01.0340.02,Yes
0042.01.0341.01,Yes
0042.01.0341.02,Yes
0042.01.0342.01,Yes
0042.01.0342.02,Yes
0042.01.0344.01,Yes
0042.01.0344.02,Yes
0042.01.0344.03,Yes
0042.01.0344.04,Yes
0042.01.0345.01,Yes
0042.01.0345.02,Yes
0042.01.0345.03,Yes
0042.01.0346,Yes
0042.01.0347,Yes
0042.01.0348.01,Yes
0042.01.0348.02,Yes
0042.01.0349,Yes
0074.01.00125,Yes
0096.02.0364,Yes
0102.01.0001,Yes
0102.01.0002,Yes
0102.01.0003,Yes
0102.01.0004,Yes
0102.01.0005,Yes
0102.01.0006,Yes
0102.01.0007,Yes
0102.01.0008,Yes
0102.01.0009,Yes
0102.01.0010,Yes
0102.01.0011,Yes
0102.01.0012,Yes
0102.01.0013,Yes
0102.01.0014,Yes
0102.01.0015,Yes
0102.01.0016,Yes
0102.01.0017,Yes
0102.01.0018,Yes
0102.01.0019,Yes
0102.01.0020,Yes
0102.01.0021,Yes
0102.01.0022,Yes
0102.01.0023,Yes
0102.01.0024,Yes
0102.01.0025,Yes
0102.01.0026,Yes
0102.01.0027,Yes
0102.01.0028,Yes
