file,In Merritt
0002.06.1442.01,Yes
0002.06.1442.02,Yes
0002.06.1442.03,Yes
0002.06.1442.04,Yes
0002.06.2047.01,Yes
0002.06.2047.02,Yes
0002.06.3385.01,Yes
0002.06.3385.02,Yes
0002.06.3386.01,Yes
0002.06.3386.02,Yes
0002.06.3387.01,Yes
0002.06.3387.02,Yes
0002.06.3388.01,Yes
0002.06.3388.02,Yes
0002.06.3389.01,Yes
0002.06.3389.02,Yes
0002.06.3390.01,Yes
0002.06.3390.02,Yes
0002.06.3391.01,Yes
0002.06.3391.02,Yes
0002.06.3392.01,Yes
0002.06.3392.02,Yes
0002.06.3393.01,Yes
0002.06.3393.02,Yes
0002.06.3394.01,Yes
0002.06.3394.02,Yes
0002.06.3395.01,Yes
0002.06.3395.02,Yes
0002.06.3396.01,Yes
0002.06.3396.02,Yes
0002.06.3397.01,Yes
0002.06.3397.02,Yes
0002.06.3398.01,Yes
0002.06.3398.02,Yes
0002.06.3399.01,Yes
0002.06.3399.02,Yes
0002.06.3400.01,Yes
0002.06.3400.02,Yes
0002.06.3401.01,Yes
0002.06.3401.02,Yes
0002.06.3402.01,Yes
0002.06.3402.02,Yes
0002.06.3403.01,Yes
0002.06.3403.02,Yes
0002.06.3404.01,Yes
0002.06.3404.02,Yes
0002.06.3405.01,Yes
0002.06.3405.02,Yes
0002.06.3406.01,Yes
0002.06.3406.02,Yes
0002.06.3407.01,Yes
0002.06.3407.02,Yes
0002.06.3408.01,Yes
0002.06.3408.02,Yes
0002.06.3409.01,Yes
0002.06.3409.02,Yes
0002.06.3410.01,Yes
0002.06.3410.02,Yes
0002.06.3411.01,Yes
0002.06.3411.02,Yes
0002.06.3412.01,Yes
0002.06.3412.02,Yes
0002.06.3413.01,Yes
0002.06.3413.02,Yes
0002.06.3414.01,Yes
0002.06.3414.02,Yes
0002.06.3415.01,Yes
0002.06.3415.02,Yes
0002.06.3416.01,Yes
0002.06.3416.02,Yes
0002.06.3417.01,Yes
0002.06.3417.02,Yes
0002.06.3418.01,Yes
0002.06.3418.02,Yes
0002.06.3419.01,Yes
0002.06.3419.02,Yes
0002.06.3420.01,Yes
0002.06.3420.02,Yes
0002.06.3421.01,Yes
0002.06.3421.02,Yes
0002.06.3422.01,Yes
0002.06.3422.02,Yes
0002.06.3423.01,Yes
0002.06.3423.02,Yes
0002.06.3424.01,Yes
0002.06.3424.02,Yes
0002.06.3425.01,Yes
0002.06.3425.02,Yes
0002.06.3426.01,Yes
0002.06.3426.02,Yes
0002.06.3427.01,Yes
0002.06.3427.02,Yes
0002.06.3428.01,Yes
0002.06.3428.02,Yes
0002.06.3429.01,Yes
0002.06.3429.02,Yes
0002.06.3430.01,Yes
0002.06.3430.02,Yes
0002.06.3431.01,Yes
0002.06.3431.02,Yes
0002.06.3432.01,Yes
0002.06.3432.02,Yes
0002.06.3433.01,Yes
0002.06.3433.02,Yes
0002.06.3434.01,Yes
0002.06.3434.02,Yes
0002.06.3435.01,Yes
0002.06.3435.02,Yes
0002.06.3436.01,Yes
0002.06.3436.02,Yes
0002.06.3437.01,Yes
0002.06.3437.02,Yes
0002.06.3438.01,Yes
0002.06.3438.02,Yes
