file,Has Metadata record
0002.04.0007.01,Yes
0002.04.0007.02,Yes
0002.04.0008.01,Yes
0002.04.0008.02,Yes
0002.04.0009,Yes
0002.04.0010.01,Yes
0002.04.0010.02,Yes
0002.04.0011.01,Yes
0002.04.0011.02,Yes
0002.04.0012.01,Yes
0002.04.0012.02,Yes
0002.04.0013.01,Yes
0002.04.0013.02,Yes
0002.04.0014.01,Yes
0002.04.0014.02,Yes
0002.04.0015.01,Yes
0002.04.0015.02,Yes
0002.04.0016.01,Yes
0002.04.0016.02,Yes
0002.04.0017.01,Yes
0002.04.0017.02,Yes
0002.04.0018.01,Yes
0002.04.0018.02,Yes
0002.04.0019.01,Yes
0002.04.0019.02,Yes
0002.04.0020.01,Yes
0002.04.0020.02,Yes
0002.04.0021,Yes
0002.04.0022.01,Yes
0002.04.0022.02,Yes
0002.04.0023.01,Yes
0002.04.0023.02,Yes
0002.04.0024.01,Yes
0002.04.0024.02,Yes
0002.04.0025.01,Yes
0002.04.0025.02,Yes
0002.04.0026,Yes
0002.04.0027,Yes
0002.04.0028,Yes
0002.04.0029,Yes
0002.04.0030,Yes
0002.04.0031,Yes
0002.04.0032,Yes
0002.04.0033,Yes
0002.04.0034,Yes
0002.04.0035,Yes
0002.04.0036,Yes
0002.04.0037,Yes
0002.04.0038,Yes
0002.04.0039,Yes
0002.05.0001,Yes
0002.05.0002,Yes
0002.05.0003,Yes
0002.05.0004,Yes
0002.05.0005,Yes
0002.05.0006,Yes
0002.05.0007,Yes
0002.05.0008,Yes
0002.05.0009,Yes
0002.05.0010,Yes
0002.05.0011,Yes
0002.05.0012,Yes
0002.05.0013,Yes
0002.05.0014,Yes
0002.05.0015,Yes
0002.05.0016,Yes
0002.05.0017,Yes
0002.05.0018,Yes
0002.05.0019,Yes
0002.05.0020,Yes
0002.05.0021,Yes
0002.05.0022,Yes
0002.05.0023,Yes
0002.05.0024.01,Yes
0002.05.0024.02,Yes
0002.05.0025,Yes
0002.05.0026.01,Yes
0002.05.0026.02,Yes
0002.05.0027.01,Yes
0002.05.0027.02,Yes
0002.05.0028.01,Yes
0002.05.0028.02,Yes
0002.05.0029.01,Yes
0002.05.0029.02,Yes
0002.05.0030.01,Yes
0002.05.0030.02,Yes
0002.05.0031,Yes
0002.05.0032.01,Yes
0002.05.0032.02,Yes
0002.05.0033,Yes
0002.05.0034,Yes
0002.05.0035,Yes
0002.05.0036,Yes
0002.05.0037,Yes
0002.05.0038,Yes
0002.05.0039,Yes
0002.05.0040,Yes
0002.05.0041,Yes
0002.05.0042,Yes
0002.05.0043,Yes
0002.05.0044,Yes
0002.05.0045,Yes
0002.05.0046,Yes
0002.05.0047,Yes
0002.05.0048,Yes
0002.05.0049,Yes
0002.05.0050,Yes
0002.05.0051,Yes
0002.06.0001,Yes
0002.06.0002,Yes
0002.06.0003,Yes
0002.06.0004,Yes
0002.06.0005,Yes
0002.06.0006,Yes
0002.06.0007,Yes
0002.06.0008,Yes
0002.06.0009,Yes
0002.06.0010,Yes
0002.06.0011.01,Yes
0002.06.0011.02,Yes
0002.06.0012.01,Yes
0002.06.0012.02,Yes
0002.06.0012.03,Yes
0002.06.0012.04,Yes
0002.06.0013,Yes
0002.06.0014,Yes
0002.06.0015,Yes
0002.06.0016,Yes
0002.06.0017,Yes
0002.06.0018,Yes
0002.06.0019,Yes
0002.06.0020.01,Yes
0002.06.0020.02,Yes
0002.06.0022.01,Yes
0002.06.0022.02,Yes
0002.06.0023.01,Yes
0002.06.0023.02,Yes
0002.06.0024.01,Yes
0002.06.0024.02,Yes
0002.06.0025,Yes
0002.06.0026,Yes
0002.06.0027,Yes
0002.06.0028,Yes
0002.06.0029,Yes
0002.06.0030,Yes
0002.06.0031,Yes
0002.06.0032,Yes
0002.06.0033,Yes
0002.06.0034,Yes
0002.06.0035,Yes
0002.06.0036,Yes
0002.06.0037,Yes
0002.06.0038,Yes
0002.06.0039.01,Yes
0002.06.0039.02,Yes
0002.06.0040,Yes
0002.06.0041.01,Yes
0002.06.0041.02,Yes
0002.06.0042,Yes
0002.06.0043,Yes
0002.06.0044,Yes
0002.06.0045,Yes
0002.06.0046,Yes
0002.06.0047,Yes
0002.06.0048,Yes
0002.06.0049,Yes
0002.06.0050,Yes
0002.06.0051.01,Yes
0002.06.0051.02,Yes
0002.06.0052,Yes
0002.06.0053,Yes
0002.06.0054.01,Yes
0002.06.0054.02,Yes
0002.06.0055.01,Yes
0002.06.0055.02,Yes
0002.06.0056,Yes
0002.06.0057.01,Yes
0002.06.0057.02,Yes
0002.06.0058.01,Yes
0002.06.0058.02,Yes
0002.06.0059.01,Yes
0002.06.0059.02,Yes
0002.06.0060,Yes
0002.06.0061,Yes
0002.06.0062,Yes
0002.06.0063,Yes
0002.06.0064,Yes
0002.06.0065,Yes
0002.06.0066,Yes
0002.06.0067,Yes
0002.06.0068,Yes
0002.06.0069,Yes
0002.06.0070,Yes
0002.06.0071,Yes
0002.06.0072,Yes
0002.06.0073,Yes
0002.06.0074,Yes
0002.06.0075,Yes
0002.06.0076,Yes
0002.06.0077,Yes
0002.06.0078,Yes
0002.06.0079,Yes
0002.06.0080,Yes
0002.06.0081,Yes
0002.06.0082,Yes
0002.06.0083,Yes
0002.06.0084,Yes
0002.06.0085,Yes
0002.06.0086,Yes
0002.06.0087,Yes
0002.06.0088,Yes
0002.06.0089,Yes
0002.06.0090.01,Yes
0002.06.0090.02,Yes
0002.06.0091.01,Yes
0002.06.0091.02,Yes
0002.06.0092,Yes
0002.06.0093,Yes
0002.06.0094,Yes
0002.06.0095,Yes
0002.06.0096,Yes
0002.06.0097,Yes
0002.06.0098,Yes
0002.06.0099,Yes
0002.06.0100,Yes
0002.06.0101,Yes
0002.06.0102.01,Yes
0002.06.0102.02,Yes
0002.06.0103.01,Yes
0002.06.0103.02,Yes
0002.06.0104,Yes
0002.06.0105,Yes
0002.06.0106,Yes
0002.06.0107,Yes
0002.06.0108,Yes
0002.06.0109,Yes
0002.06.0110,Yes
0002.06.0111.01,Yes
0002.06.0111.02,Yes
0002.06.0111.03,Yes
0002.06.0111.04,Yes
0002.06.0111.05,Yes
0002.06.0112.01,Yes
0002.06.0112.02,Yes
0002.06.0113.01,Yes
0002.06.0113.02,Yes
0002.06.0114.01,Yes
0002.06.0114.02,Yes
0002.06.0115.01,Yes
0002.06.0115.02,Yes
0002.06.0116.01,Yes
0002.06.0116.02,Yes
0002.06.0117.01,Yes
0002.06.0117.02,Yes
0002.06.0118.01,Yes
0002.06.0118.02,Yes
0002.06.0119.01,Yes
0002.06.0119.02,Yes
0002.06.0120.01,Yes
0002.06.0120.02,Yes
0002.06.0121.01,Yes
0002.06.0121.02,Yes
0002.06.0122.01,Yes
0002.06.0122.02,Yes
0002.06.0123.01,Yes
0002.06.0123.02,Yes
0002.06.0124.01,Yes
0002.06.0124.02,Yes
0002.06.0125.01,Yes
0002.06.0125.02,Yes
0002.06.0126.01,Yes
0002.06.0126.02,Yes
0002.06.0127.01,Yes
0002.06.0127.02,Yes
0002.06.0128.01,Yes
0002.06.0128.02,Yes
0002.06.0129.01,Yes
0002.06.0129.02,Yes
0002.06.0130.01,Yes
0002.06.0130.02,Yes
0002.06.0131.01,Yes
0002.06.0131.02,Yes
0002.06.0132.01,Yes
0002.06.0132.02,Yes
0002.06.0133.01,Yes
0002.06.0133.02,Yes
0002.06.0134.01,Yes
0002.06.0134.02,Yes
0002.06.0135.01,Yes
0002.06.0135.02,Yes
0002.06.0136.01,Yes
0002.06.0136.02,Yes
0002.06.0137.01,Yes
0002.06.0137.02,Yes
0002.06.0138.01,Yes
0002.06.0138.02,Yes
0002.06.0139.01,Yes
0002.06.0139.02,Yes
0002.06.0140.01,Yes
0002.06.0140.02,Yes
0002.06.0141.01,Yes
0002.06.0141.02,Yes
0002.06.0142.01,Yes
0002.06.0142.02,Yes
0002.06.0143.01,Yes
0002.06.0143.02,Yes
0002.06.0144.01,Yes
0002.06.0144.02,Yes
0002.06.0145.01,Yes
0002.06.0145.02,Yes
0002.06.0146.01,Yes
0002.06.0146.02,Yes
0002.06.0147.01,Yes
0002.06.0147.02,Yes
0002.06.0148.01,Yes
0002.06.0148.02,Yes
0002.06.0149.01,Yes
0002.06.0149.02,Yes
0002.06.0150.01,Yes
0002.06.0150.02,Yes
0002.06.0151.01,Yes
0002.06.0151.02,Yes
0002.06.0152.01,Yes
0002.06.0152.02,Yes
0002.06.0153.01,Yes
0002.06.0153.02,Yes
0002.06.0154.01,Yes
0002.06.0154.02,Yes
0002.06.0155.01,Yes
0002.06.0155.02,Yes
0002.06.0156.01,Yes
0002.06.0156.02,Yes
0002.06.0157.01,Yes
0002.06.0157.02,Yes
0002.06.0158.01,Yes
0002.06.0158.02,Yes
0002.06.0159.01,Yes
0002.06.0159.02,Yes
0002.06.0160.01,Yes
0002.06.0160.02,Yes
0002.06.0161.01,Yes
0002.06.0161.02,Yes
0002.06.0162.01,Yes
0002.06.0162.02,Yes
0002.06.0163.01,Yes
0002.06.0163.02,Yes
0002.06.0164.01,Yes
0002.06.0164.02,Yes
0002.06.0165.01,Yes
0002.06.0165.02,Yes
0002.06.0166.01,Yes
0002.06.0166.02,Yes
0002.06.0167.01,Yes
0002.06.0167.02,Yes
0002.06.0168.01,Yes
0002.06.0168.02,Yes
0002.06.0169.01,Yes
0002.06.0169.02,Yes
0002.06.0170.01,Yes
0002.06.0170.02,Yes
0002.06.0171.01,Yes
0002.06.0171.02,Yes
0002.06.0172.01,Yes
0002.06.0172.02,Yes
0002.06.0173.01,Yes
0002.06.0173.02,Yes
0002.06.0174.01,Yes
0002.06.0174.02,Yes
0002.06.0175.01,Yes
0002.06.0175.02,Yes
0002.06.0176.01,Yes
0002.06.0176.02,Yes
0002.06.0177.01,Yes
0002.06.0177.02,Yes
0002.06.0178.01,Yes
0002.06.0178.02,Yes
0002.06.0179.01,Yes
0002.06.0179.02,Yes
0002.06.0180.01,Yes
0002.06.0180.02,Yes
0002.06.0181.01,Yes
0002.06.0181.02,Yes
0002.06.0182.01,Yes
0002.06.0182.02,Yes
0002.06.0183.01,Yes
0002.06.0183.02,Yes
0002.06.0184.01,Yes
0002.06.0184.02,Yes
0002.06.0185.01,Yes
0002.06.0185.02,Yes
0002.06.0186.01,Yes
0002.06.0186.02,Yes
0002.06.0187.01,Yes
0002.06.0187.02,Yes
0002.06.0188.01,Yes
0002.06.0188.02,Yes
0002.06.0189.01,Yes
0002.06.0189.02,Yes
0002.06.0190.01,Yes
0002.06.0190.02,Yes
0002.06.0191,Yes
0002.06.0192,Yes
0002.06.0193,Yes
0002.06.0194,Yes
0002.06.0195.01,Yes
0002.06.0195.02,Yes
0002.06.0196.01,Yes
0002.06.0196.02,Yes
0002.06.0197,Yes
0002.06.0198,Yes
0002.06.0199,Yes
0002.06.0200,Yes
0002.06.0201,Yes
0002.06.0202,Yes
0002.06.0203,Yes
0002.06.0204.01,Yes
0002.06.0204.02,Yes
0002.06.0205.01,Yes
0002.06.0205.02,Yes
0002.06.0206,Yes
0002.06.0207,Yes
0002.06.0208.01,Yes
0002.06.0208.02,Yes
0002.06.0209,Yes
0002.06.0210.01,Yes
0002.06.0210.02,Yes
0002.06.0211,Yes
0002.06.0212,Yes
0002.06.0213,Yes
0002.06.0214,Yes
0002.06.0215,Yes
0002.06.0216,Yes
0002.06.0217.01,Yes
0002.06.0217.02,Yes
0002.06.0218,Yes
0002.06.0219,Yes
0002.06.0220.01,Yes
0002.06.0220.02,Yes
0002.06.0221,Yes
0002.06.0222,Yes
0002.06.0223.01,Yes
0002.06.0223.02,Yes
0002.06.0224,Yes
0002.06.0225,Yes
0002.06.0226,Yes
0002.06.0227,Yes
0002.06.0228,Yes
0002.06.0229,Yes
0002.06.0230,Yes
0002.06.0231,Yes
0002.06.0232,Yes
0002.06.0233,Yes
0002.06.0234,Yes
0002.06.0235,Yes
0002.06.0236,Yes
0002.06.0237,Yes
0002.06.0238,Yes
0002.06.0239,Yes
0002.06.0240,Yes
0002.06.0241,Yes
0002.06.0242,Yes
0002.06.0243,Yes
0002.06.0244,Yes
0002.06.0245,Yes
0002.06.0246,Yes
0002.06.0247,Yes
0002.06.0248,Yes
0002.06.0249,Yes
0002.06.0250,Yes
0002.06.0251,Yes
0002.06.0252,Yes
0002.06.0253,Yes
0002.06.0254,Yes
0002.06.0255,Yes
0002.06.0256,Yes
0002.06.0257,Yes
0002.06.0258,Yes
0002.06.0259,Yes
0002.06.0260,Yes
0002.06.0261,Yes
0002.06.0262,Yes
0002.06.0263.01,Yes
0002.06.0263.02,Yes
0002.06.0264.01,Yes
0002.06.0264.02,Yes
0002.06.0265.01,Yes
0002.06.0265.02,Yes
0002.06.0266.01,Yes
0002.06.0266.02,Yes
0002.06.0267.01,Yes
0002.06.0267.02,Yes
0002.06.0268.01,Yes
0002.06.0268.02,Yes
0002.06.0269.01,Yes
0002.06.0269.02,Yes
0002.06.0270.01,Yes
0002.06.0270.02,Yes
0002.06.0271.01,Yes
0002.06.0271.02,Yes
0002.06.0272,Yes
0002.06.0273,Yes
0002.06.0274,Yes
0002.06.0275,Yes
0002.06.0276,Yes
0002.06.0277,Yes
0002.06.0278,Yes
0002.06.0279,Yes
0002.06.0280,Yes
0002.06.0281,Yes
0002.06.0282,Yes
0002.06.0283,Yes
0002.06.0284,Yes
0002.06.0285,Yes
0002.06.0286.01,Yes
0002.06.0286.02,Yes
0002.06.0287.01,Yes
0002.06.0287.02,Yes
0002.06.0288,Yes
0002.06.0289.01,Yes
0002.06.0289.02,Yes
0002.06.0290.01,Yes
0002.06.0290.02,Yes
0002.06.0291.01,Yes
0002.06.0291.02,Yes
0002.06.0292.01,Yes
0002.06.0292.02,Yes
0002.06.0293.01,Yes
0002.06.0293.02,Yes
0002.06.0294.01,Yes
0002.06.0294.02,Yes
0002.06.0295.01,Yes
0002.06.0295.02,Yes
0002.06.0296.01,Yes
0002.06.0296.02,Yes
0002.06.0297.01,Yes
0002.06.0297.02,Yes
0002.06.0298.01,Yes
0002.06.0298.02,Yes
0002.06.0299.01,Yes
0002.06.0299.02,Yes
0002.06.0300.01,Yes
0002.06.0300.02,Yes
0002.06.0301.01,Yes
0002.06.0301.02,Yes
0002.06.0302.01,Yes
0002.06.0302.02,Yes
0002.06.0303.01,Yes
0002.06.0303.02,Yes
0002.06.0304.01,Yes
0002.06.0304.02,Yes
0002.06.0305.01,Yes
0002.06.0305.02,Yes
0002.06.0306.01,Yes
0002.06.0306.02,Yes
0002.06.0307.01,Yes
0002.06.0307.02,Yes
0002.06.0308.01,Yes
0002.06.0308.02,Yes
0002.06.0309.01,Yes
0002.06.0309.02,Yes
0002.06.0310.01,Yes
0002.06.0310.02,Yes
0002.06.0311.01,Yes
0002.06.0311.02,Yes
0002.06.0312.01,Yes
0002.06.0312.02,Yes
0002.06.0313.01,Yes
0002.06.0313.02,Yes
0002.06.0314.01,Yes
0002.06.0314.02,Yes
0002.06.0315.01,Yes
0002.06.0315.02,Yes
0002.06.0316.01,Yes
0002.06.0316.02,Yes
0002.06.0317.01,Yes
0002.06.0317.02,Yes
0002.06.0318.01,Yes
0002.06.0318.02,Yes
0002.06.0319.01,Yes
0002.06.0319.02,Yes
0002.06.0320.01,Yes
0002.06.0320.02,Yes
0002.06.0321.01,Yes
0002.06.0321.02,Yes
0002.06.0322.01,Yes
0002.06.0322.02,Yes
0002.06.0323.01,Yes
0002.06.0323.02,Yes
0002.06.0324.01,Yes
0002.06.0324.02,Yes
0002.06.0325.01,Yes
0002.06.0325.02,Yes
0002.06.0326.01,Yes
0002.06.0326.02,Yes
0002.06.0327.01,Yes
0002.06.0327.02,Yes
0002.06.0328.01,Yes
0002.06.0328.02,Yes
0002.06.0329.01,Yes
0002.06.0329.02,Yes
0002.06.0330.01,Yes
0002.06.0330.02,Yes
0002.06.0331.01,Yes
0002.06.0331.02,Yes
0002.06.0332.01,Yes
0002.06.0332.02,Yes
0002.06.0333.01,Yes
0002.06.0333.02,Yes
0002.06.0334,Yes
0002.06.0335.01,Yes
0002.06.0335.02,Yes
0002.06.0336,Yes
0002.06.0337.01,Yes
0002.06.0337.02,Yes
0002.06.0338,Yes
0002.06.0339.01,Yes
0002.06.0339.02,Yes
0002.06.0340,Yes
0002.06.0341,Yes
0002.06.0342,Yes
0002.06.0343,Yes
0002.06.0344,Yes
0002.06.0345,Yes
0002.06.0346,Yes
0002.06.0347,Yes
0002.06.0348,Yes
0002.06.0349,Yes
0002.06.0350,Yes
0002.06.0351,Yes
0002.06.0352,Yes
0002.06.0353,Yes
0002.06.0354,Yes
0002.06.0355,Yes
0002.06.0356,Yes
0002.06.0357,Yes
0002.06.0358,Yes
0002.06.0359,Yes
0002.06.0360,Yes
0002.06.0361,Yes
0002.06.0362,Yes
0002.06.0363,Yes
0002.06.0364,Yes
0002.06.0365,Yes
0002.06.0366,Yes
0002.06.0367,Yes
0002.06.0368,Yes
0002.06.0369,Yes
0002.06.0370,Yes
0002.06.0371,Yes
0002.06.0372,Yes
0002.06.0373,Yes
0002.06.0374,Yes
0002.06.0375,Yes
0002.06.0376,Yes
0002.06.0377,Yes
0002.06.0378,Yes
0002.06.0379,Yes
0002.06.0380,Yes
0002.06.0381,Yes
0002.06.0382,Yes
0002.06.0383,Yes
0002.06.0384,Yes
0002.06.0385,Yes
0002.06.0386,Yes
0002.06.0387,Yes
0002.06.0388,Yes
0002.06.0389,Yes
0002.06.0390,Yes
0002.06.0391,Yes
0002.06.0392,Yes
0002.06.0393,Yes
0002.06.0394,Yes
0002.06.0395,Yes
0002.06.0396,Yes
0002.06.0397,Yes
0002.06.0398,Yes
0002.06.0399,Yes
0002.06.0400,Yes
0002.06.0401,Yes
0002.06.0402,Yes
0002.06.0403,Yes
0002.06.0404,Yes
0002.06.0405,Yes
0002.06.0406,Yes
0002.06.0407,Yes
0002.06.0408,Yes
0002.06.0409,Yes
0002.06.0410,Yes
0002.06.0411,Yes
0002.06.0412,Yes
0002.06.0413,Yes
0002.06.0414,Yes
0002.06.0415,Yes
0002.06.0416,Yes
0002.06.0417,Yes
0002.06.0418,Yes
0002.06.0419,Yes
0002.06.0420,Yes
0002.06.0421,Yes
0002.06.0422,Yes
0002.06.0423,Yes
0002.06.0424,Yes
0002.06.0425,Yes
0002.06.0426,Yes
0002.06.0427,Yes
0002.06.0428,Yes
0002.06.0429,Yes
0002.06.0430,Yes
0002.06.0431,Yes
0002.06.0432,Yes
0002.06.0433.01,Yes
0002.06.0433.02,Yes
0002.06.0434.01,Yes
0002.06.0434.02,Yes
0002.06.0435,Yes
0002.06.0436.01,Yes
0002.06.0436.02,Yes
0002.06.0437.01,Yes
0002.06.0437.02,Yes
0002.06.0438.01,Yes
0002.06.0438.02,Yes
0002.06.0439,Yes
0002.06.0440,Yes
0002.06.0441,Yes
0002.06.0442.01,Yes
0002.06.0442.02,Yes
0002.06.0443.01,Yes
0002.06.0443.02,Yes
0002.06.0444.01,Yes
0002.06.0444.02,Yes
0002.06.0445.01,Yes
0002.06.0445.02,Yes
0002.06.0446.01,Yes
0002.06.0446.02,Yes
0002.06.0447.01,Yes
0002.06.0447.02,Yes
0002.06.0448.01,Yes
0002.06.0448.02,Yes
0002.06.0449.01,Yes
0002.06.0449.02,Yes
0002.06.0450.01,Yes
0002.06.0450.02,Yes
0002.06.0451.01,Yes
0002.06.0451.02,Yes
0002.06.0452.01,Yes
0002.06.0452.02,Yes
0002.06.0453,Yes
0002.06.0454,Yes
0002.06.0455.01,Yes
0002.06.0455.02,Yes
0002.06.0456.01,Yes
0002.06.0456.02,Yes
0002.06.0456.03,Yes
0002.06.0457.01,Yes
0002.06.0457.02,Yes
0002.06.0458.01,Yes
0002.06.0458.02,Yes
0002.06.0459.01,Yes
0002.06.0459.02,Yes
0002.06.0460.01,Yes
0002.06.0460.02,Yes
0002.06.0461.01,Yes
0002.06.0461.02,Yes
0002.06.0462.01,Yes
0002.06.0462.02,Yes
0002.06.0463.01,Yes
0002.06.0463.02,Yes
0002.06.0464,Yes
0002.06.0465,Yes
0002.06.0466,Yes
0002.06.0467,Yes
0002.06.0468,Yes
0002.06.0469.01,Yes
0002.06.0469.02,Yes
0002.06.0470.01,Yes
0002.06.0470.02,Yes
0002.06.0471.01,Yes
0002.06.0471.02,Yes
0002.06.0472.01,Yes
0002.06.0472.02,Yes
0002.06.0473.01,Yes
0002.06.0473.02,Yes
0002.06.0474.01,Yes
0002.06.0474.02,Yes
0002.06.0475.01,Yes
