file,Has Metadata record
0001.01.0455,Yes
0002.01.0001.01,Yes
0002.01.0001.02,Yes
0002.01.0002,Yes
0002.01.0003.01,Yes
0002.01.0003.02,Yes
0002.01.0004.01,Yes
0002.01.0004.02,Yes
0002.01.0005.01,Yes
0002.01.0005.02.,Yes
0002.01.0006.01,Yes
0002.01.0006.02,Yes
0002.01.0007.01,Yes
0002.01.0007.02,Yes
0002.01.0008,Yes
0002.01.0009.01,Yes
0002.01.0009.02,Yes
0002.01.0010,Yes
0002.01.0011,Yes
0002.01.0012,Yes
0002.01.0013,Yes
0002.01.0014,Yes
0002.01.0015,Yes
0002.01.0016,Yes
0002.01.0017,Yes
0002.01.0018,Yes
0002.01.0019,Yes
0002.01.0020,Yes
0002.01.0021,Yes
0002.01.0022,Yes
0002.01.0023,Yes
0002.01.0024,Yes
0002.01.0025,Yes
0002.01.0026.01,Yes
0002.01.0026.02,Yes
0002.01.0027,Yes
0002.01.0028,Yes
0002.01.0029.01,Yes
0002.01.0029.02,Yes
0002.01.0030,Yes
0002.01.0031,Yes
0002.01.0032,Yes
0002.01.0033,Yes
0002.01.0034,Yes
0002.01.0035,Yes
0002.01.0036,Yes
0002.01.0037,Yes
0002.01.0038,Yes
0002.01.0039,Yes
0002.01.0040.01,Yes
0002.01.0040.02,Yes
0002.01.0041,Yes
0002.01.0042.01,Yes
0002.01.0042.02,Yes
0002.01.0043,Yes
0002.01.0044,Yes
0002.01.0045,Yes
0002.01.0046,Yes
0002.01.0047,Yes
0002.01.0048,Yes
0002.01.0049,Yes
0002.01.0050,Yes
0002.01.0051,Yes
0002.01.0052,Yes
0002.01.0053,Yes
0002.01.0054,Yes
0002.01.0055,Yes
0002.01.0056,Yes
0002.01.0057,Yes
0002.01.0058.01,Yes
0002.01.0058.02,Yes
0002.01.0059,Yes
0002.01.0060,Yes
0002.01.0061,Yes
0002.01.0062,Yes
0002.01.0063,Yes
0002.01.0064,Yes
0002.01.0065,Yes
0002.01.0066,Yes
0002.01.0067,Yes
0002.01.0068,Yes
0002.01.0069,Yes
0002.01.0070,Yes
0002.01.0071,Yes
0002.01.0072,Yes
0002.01.0073,Yes
0002.01.0074,Yes
0002.01.0075,Yes
0002.01.0076,Yes
0002.01.0077,Yes
0002.01.0078,Yes
0002.01.0079,Yes
0002.01.0080.01,Yes
0002.01.0080.02,Yes
0002.02.0001.01,Yes
0002.02.0001.02,Yes
0002.02.0002.01,Yes
0002.02.0002.02,Yes
0002.02.0003.01,Yes
0002.02.0003.02,Yes
0002.02.0004.01,Yes
0002.02.0004.02,Yes
0002.02.0005.01,Yes
0002.02.0005.02,Yes
0002.02.0006.01,Yes
0002.02.0006.02,Yes
0002.02.0007.01,Yes
0002.02.0007.02,Yes
0002.02.0008.01,Yes
0002.02.0008.02,Yes
0002.02.0009.01,Yes
0002.02.0009.02,Yes
0002.02.0010.01,Yes
0002.02.0010.02,Yes
0002.02.0011.01,Yes
0002.02.0011.02,Yes
0002.02.0012,Yes
0002.02.0013.01,Yes
0002.02.0013.02,Yes
0002.02.0014.01,Yes
0002.02.0014.02,Yes
0002.02.0015.01,Yes
0002.02.0015.02,Yes
0002.02.0016.01,Yes
0002.02.0016.02,Yes
0002.02.0017.01,Yes
0002.02.0017.02,Yes
0002.02.0018.01,Yes
0002.02.0018.02,Yes
0002.02.0019.01,Yes
0002.02.0019.02,Yes
0002.02.0020,Yes
0002.02.0021.01,Yes
0002.02.0021.02,Yes
0002.02.0022.01,Yes
0002.02.0022.02,Yes
0002.02.0023.01,Yes
0002.02.0023.02,Yes
0002.02.0024.01,Yes
0002.02.0024.02,Yes
0002.02.0025.01,Yes
0002.02.0025.02,Yes
0002.02.0026.01,Yes
0002.02.0026.02,Yes
0002.02.0027.01,Yes
0002.02.0027.02,Yes
0002.02.0028.01,Yes
0002.02.0028.02,Yes
0002.02.0029.01,Yes
0002.02.0029.02,Yes
0002.02.0030.01,Yes
0002.02.0030.02,Yes
0002.02.0031.01,Yes
0002.02.0031.02,Yes
0002.02.0032.01,Yes
0002.02.0032.02,Yes
0002.02.0033.01,Yes
0002.02.0033.02,Yes
0002.02.0034.01,Yes
0002.02.0034.02,Yes
0002.02.0035.01,Yes
0002.02.0035.02,Yes
0002.02.0036,Yes
0002.02.0037.01,Yes
0002.02.0037.02,Yes
0002.02.0038.01,Yes
0002.02.0038.02,Yes
0002.02.0039.01,Yes
0002.02.0039.02,Yes
0002.02.0040.01,Yes
0002.02.0040.02,Yes
0002.02.0041.01,Yes
0002.02.0041.02,Yes
0002.02.0042.01,Yes
0002.02.0042.02,Yes
0002.02.0043.01,Yes
0002.02.0043.02,Yes
0002.02.0044.01,Yes
0002.02.0044.02,Yes
0002.02.0045.01,Yes
0002.02.0045.02,Yes
0002.02.0046,Yes
0002.02.0047,Yes
0002.02.0048,Yes
0002.02.0049,Yes
0002.02.0050,Yes
0002.02.0051,Yes
0002.02.0052,Yes
0002.02.0053,Yes
0002.02.0054.01,Yes
0002.02.0054.02,Yes
0002.02.0055.01,Yes
0002.02.0055.02,Yes
0002.02.0056.01,Yes
0002.02.0056.02,Yes
0002.02.0057.01,Yes
0002.02.0057.02,Yes
0002.02.0058.01,Yes
0002.02.0058.02,Yes
0002.02.0059.01,Yes
0002.02.0059.02,Yes
0002.02.0060.01,Yes
0002.02.0060.02,Yes
0002.02.0061.01,Yes
0002.02.0061.02,Yes
0002.02.0062.01,Yes
0002.02.0062.02,Yes
0002.02.0063.01,Yes
0002.02.0063.02,Yes
0002.02.0064,Yes
0002.02.0065,Yes
0002.02.0066,Yes
0002.02.0067,Yes
0002.02.0068.01,Yes
0002.02.0068.02,Yes
0002.02.0069.01,Yes
0002.02.0069.02,Yes
0002.02.0070.01,Yes
0002.02.0070.02,Yes
0002.02.0071.01,Yes
0002.02.0071.02,Yes
0002.02.0072.01,Yes
0002.02.0072.02,Yes
0002.02.0073.01,Yes
0002.02.0073.02,Yes
0002.02.0074.01,Yes
0002.02.0074.02,Yes
0002.02.0075.01,Yes
0002.02.0075.02,Yes
0002.02.0076.01,Yes
0002.02.0076.02,Yes
0002.02.0077,Yes
0002.02.0078,Yes
0002.02.0079,Yes
0002.02.0080,Yes
0002.02.0081,Yes
0002.02.0082,Yes
0002.02.0083,Yes
0002.02.0084,Yes
0002.02.0085,Yes
0002.02.0086,Yes
0002.02.0087,Yes
0002.03.0001.01,Yes
0002.03.0001.02,Yes
0002.03.0002.01,Yes
0002.03.0002.02,Yes
0002.03.0003.01,Yes
0002.03.0003.02,Yes
0002.03.0004.01,Yes
0002.03.0004.02,Yes
0002.03.0005.01,Yes
0002.03.0005.02,Yes
0002.03.0006.01,Yes
0002.03.0006.02,Yes
0002.03.0007.01,Yes
0002.03.0007.02,Yes
0002.03.0008,Yes
0002.03.0009,Yes
0002.03.0010,Yes
0002.03.0011,Yes
0002.03.0012,Yes
0002.03.0013,Yes
0002.03.0014,Yes
0002.03.0015,Yes
0002.04.0001.01,Yes
0002.04.0001.02,Yes
0002.04.0002.01,Yes
0002.04.0002.02,Yes
0002.04.0003.01,Yes
0002.04.0003.02,Yes
0002.04.0004.01,Yes
0002.04.0004.02,Yes
0002.04.0005.01,Yes
0002.04.0005.02,Yes
0002.04.0006.01,Yes
0002.04.0006.02,Yes
