file,object,Has Metadata record,In Merritt
0001.01.0455,0001.01.0455,No,No
0002.01.0001.01,0002.01.0001,No,No
0002.01.0001.02,0002.01.0001,No,No
0002.01.0002,0002.01.0002,No,No
0002.01.0003.01,0002.01.0003,No,No
0002.01.0003.02,0002.01.0003,No,No
0002.01.0004.01,0002.01.0004,No,No
0002.01.0004.02,0002.01.0004,No,No
0002.01.0005.01,0002.01.0005,No,No
0002.01.0005.02.,0002.01.0005,No,No
0002.01.0006.01,0002.01.0006,No,No
0002.01.0006.02,0002.01.0006,No,No
0002.01.0007.01,0002.01.0007,No,No
0002.01.0007.02,0002.01.0007,No,No
0002.01.0008,0002.01.0008,No,No
0002.01.0009.01,0002.01.0009,No,No
0002.01.0009.02,0002.01.0009,No,No
0002.01.0010,0002.01.0010,No,No
0002.01.0011,0002.01.0011,No,No
0002.01.0012,0002.01.0012,No,No
0002.01.0013,0002.01.0013,No,No
0002.01.0014,0002.01.0014,No,No
0002.01.0015,0002.01.0015,No,No
0002.01.0016,0002.01.0016,No,No
0002.01.0017,0002.01.0017,No,No
0002.01.0018,0002.01.0018,No,No
0002.01.0019,0002.01.0019,No,No
0002.01.0020,0002.01.0020,No,No
0002.01.0021,0002.01.0021,No,No
0002.01.0022,0002.01.0022,No,No
0002.01.0023,0002.01.0023,No,No
0002.01.0024,0002.01.0024,No,No
0002.01.0025,0002.01.0025,No,No
0002.01.0026.01,0002.01.0026,No,No
0002.01.0026.02,0002.01.0026,No,No
0002.01.0027,0002.01.0027,No,No
0002.01.0028,0002.01.0028,No,No
0002.01.0029.01,0002.01.0029,No,No
0002.01.0029.02,0002.01.0029,No,No
0002.01.0030,0002.01.0030,No,No
0002.01.0031,0002.01.0031,No,No
0002.01.0032,0002.01.0032,No,No
0002.01.0033,0002.01.0033,No,No
0002.01.0034,0002.01.0034,No,No
0002.01.0035,0002.01.0035,No,No
0002.01.0036,0002.01.0036,No,No
0002.01.0037,0002.01.0037,No,No
0002.01.0038,0002.01.0038,No,No
0002.01.0039,0002.01.0039,No,No
0002.01.0040.01,0002.01.0040,No,No
0002.01.0040.02,0002.01.0040,No,No
0002.01.0041,0002.01.0041,No,No
0002.01.0042.01,0002.01.0042,No,No
0002.01.0042.02,0002.01.0042,No,No
0002.01.0043,0002.01.0043,No,No
0002.01.0044,0002.01.0044,No,No
0002.01.0045,0002.01.0045,No,No
0002.01.0046,0002.01.0046,No,No
0002.01.0047,0002.01.0047,No,No
0002.01.0048,0002.01.0048,No,No
0002.01.0049,0002.01.0049,No,No
0002.01.0050,0002.01.0050,No,No
0002.01.0051,0002.01.0051,No,No
0002.01.0052,0002.01.0052,No,No
0002.01.0053,0002.01.0053,No,No
0002.01.0054,0002.01.0054,No,No
0002.01.0055,0002.01.0055,No,No
0002.01.0056,0002.01.0056,No,No
0002.01.0057,0002.01.0057,No,No
