file,object,Has Metadata record,In Merritt
0002.01.0058.01,0002.01.0058,No,No
0002.01.0058.02,0002.01.0058,No,No
0002.01.0059,0002.01.0059,No,No
0002.01.0060,0002.01.0060,No,No
0002.01.0061,0002.01.0061,No,No
0002.01.0062,0002.01.0062,No,No
0002.01.0063,0002.01.0063,No,No
0002.01.0064,0002.01.0064,No,No
0002.01.0065,0002.01.0065,No,No
0002.01.0066,0002.01.0066,No,No
0002.01.0067,0002.01.0067,No,No
0002.01.0068,0002.01.0068,No,No
0002.01.0069,0002.01.0069,No,No
0002.01.0070,0002.01.0070,No,No
0002.01.0071,0002.01.0071,No,No
0002.01.0072,0002.01.0072,No,No
0002.01.0073,0002.01.0073,No,No
0002.01.0074,0002.01.0074,No,No
0002.01.0075,0002.01.0075,No,No
0002.01.0076,0002.01.0076,No,No
0002.01.0077,0002.01.0077,No,No
0002.01.0078,0002.01.0078,No,No
0002.01.0079,0002.01.0079,No,No
0002.01.0080.01,0002.01.0080,No,No
0002.01.0080.02,0002.01.0080,No,No
0002.02.0001.01,0002.02.0001,No,No
0002.02.0001.02,0002.02.0001,No,No
0002.02.0002.01,0002.02.0002,No,No
0002.02.0002.02,0002.02.0002,No,No
0002.02.0003.01,0002.02.0003,No,No
0002.02.0003.02,0002.02.0003,No,No
0002.02.0004.01,0002.02.0004,No,No
0002.02.0004.02,0002.02.0004,No,No
0002.02.0005.01,0002.02.0005,No,No
0002.02.0005.02,0002.02.0005,No,No
0002.02.0006.01,0002.02.0006,No,No
0002.02.0006.02,0002.02.0006,No,No
0002.02.0007.01,0002.02.0007,No,No
0002.02.0007.02,0002.02.0007,No,No
0002.02.0008.01,0002.02.0008,No,No
0002.02.0008.02,0002.02.0008,No,No
0002.02.0009.01,0002.02.0009,No,No
0002.02.0009.02,0002.02.0009,No,No
0002.02.0010.01,0002.02.0010,No,No
0002.02.0010.02,0002.02.0010,No,No
0002.02.0011.01,0002.02.0011,No,No
0002.02.0011.02,0002.02.0011,No,No
0002.02.0012,0002.02.0012,No,No
0002.02.0013.01,0002.02.0013,No,No
0002.02.0013.02,0002.02.0013,No,No
0002.02.0014.01,0002.02.0014,No,No
0002.02.0014.02,0002.02.0014,No,No
0002.02.0015.01,0002.02.0015,No,No
0002.02.0015.02,0002.02.0015,No,No
0002.02.0016.01,0002.02.0016,No,No
0002.02.0016.02,0002.02.0016,No,No
0002.02.0017.01,0002.02.0017,No,No
0002.02.0017.02,0002.02.0017,No,No
0002.02.0018.01,0002.02.0018,No,No
0002.02.0018.02,0002.02.0018,No,No
0002.02.0019.01,0002.02.0019,No,No
0002.02.0019.02,0002.02.0019,No,No
0002.02.0020,0002.02.0020,No,No
0002.02.0021.01,0002.02.0021,No,No
0002.02.0021.02,0002.02.0021,No,No
0002.02.0022.01,0002.02.0022,No,No
0002.02.0022.02,0002.02.0022,No,No
0002.02.0023.01,0002.02.0023,No,No
0002.02.0023.02,0002.02.0023,No,No
0002.02.0024.01,0002.02.0024,No,No
0002.02.0024.02,0002.02.0024,No,No
0002.02.0025.01,0002.02.0025,No,No
0002.02.0025.02,0002.02.0025,No,No
0002.02.0026.01,0002.02.0026,No,No
0002.02.0026.02,0002.02.0026,No,No
0002.02.0027.01,0002.02.0027,No,No
0002.02.0027.02,0002.02.0027,No,No
0002.02.0028.01,0002.02.0028,No,No
0002.02.0028.02,0002.02.0028,No,No
0002.02.0029.01,0002.02.0029,No,No
0002.02.0029.02,0002.02.0029,No,No
0002.02.0030.01,0002.02.0030,No,No
0002.02.0030.02,0002.02.0030,No,No
0002.02.0031.01,0002.02.0031,No,No
0002.02.0031.02,0002.02.0031,No,No
0002.02.0032.01,0002.02.0032,No,No
0002.02.0032.02,0002.02.0032,No,No
0002.02.0033.01,0002.02.0033,No,No
0002.02.0033.02,0002.02.0033,No,No
0002.02.0034.01,0002.02.0034,No,No
0002.02.0034.02,0002.02.0034,No,No
0002.02.0035.01,0002.02.0035,No,No
0002.02.0035.02,0002.02.0035,No,No
0002.02.0036,0002.02.0036,No,No
0002.02.0037.01,0002.02.0037,No,No
0002.02.0037.02,0002.02.0037,No,No
0002.02.0038.01,0002.02.0038,No,No
0002.02.0038.02,0002.02.0038,No,No
0002.02.0039.01,0002.02.0039,No,No
0002.02.0039.02,0002.02.0039,No,No
0002.02.0040.01,0002.02.0040,No,No
0002.02.0040.02,0002.02.0040,No,No
0002.02.0041.01,0002.02.0041,No,No
0002.02.0041.02,0002.02.0041,No,No
0002.02.0042.01,0002.02.0042,No,No
0002.02.0042.02,0002.02.0042,No,No
0002.02.0043.01,0002.02.0043,No,No
0002.02.0043.02,0002.02.0043,No,No
0002.02.0044.01,0002.02.0044,No,No
0002.02.0044.02,0002.02.0044,No,No
0002.02.0045.01,0002.02.0045,No,No
0002.02.0045.02,0002.02.0045,No,No
0002.02.0046,0002.02.0046,No,No
0002.02.0047,0002.02.0047,No,No
0002.02.0048,0002.02.0048,No,No
0002.02.0049,0002.02.0049,No,No
0002.02.0050,0002.02.0050,No,No
0002.02.0051,0002.02.0051,No,No
0002.02.0052,0002.02.0052,No,No
0002.02.0053,0002.02.0053,No,No
0002.02.0054.01,0002.02.0054,No,No
0002.02.0054.02,0002.02.0054,No,No
0002.02.0055.01,0002.02.0055,No,No
0002.02.0055.02,0002.02.0055,No,No
0002.02.0056.01,0002.02.0056,No,No
0002.02.0056.02,0002.02.0056,No,No
0002.02.0057.01,0002.02.0057,No,No
0002.02.0057.02,0002.02.0057,No,No
0002.02.0058.01,0002.02.0058,No,No
0002.02.0058.02,0002.02.0058,No,No
0002.02.0059.01,0002.02.0059,No,No
0002.02.0059.02,0002.02.0059,No,No
0002.02.0060.01,0002.02.0060,No,No
0002.02.0060.02,0002.02.0060,No,No
0002.02.0061.01,0002.02.0061,No,No
0002.02.0061.02,0002.02.0061,No,No
0002.02.0062.01,0002.02.0062,No,No
0002.02.0062.02,0002.02.0062,No,No
0002.02.0063.01,0002.02.0063,No,No
0002.02.0063.02,0002.02.0063,No,No
0002.02.0064,0002.02.0064,No,No
0002.02.0065,0002.02.0065,No,No
0002.02.0066,0002.02.0066,No,No
0002.02.0067,0002.02.0067,No,No
0002.02.0068.01,0002.02.0068,No,No
0002.02.0068.02,0002.02.0068,No,No
0002.02.0069.01,0002.02.0069,No,No
0002.02.0069.02,0002.02.0069,No,No
0002.02.0070.01,0002.02.0070,No,No
0002.02.0070.02,0002.02.0070,No,No
0002.02.0071.01,0002.02.0071,No,No
0002.02.0071.02,0002.02.0071,No,No
0002.02.0072.01,0002.02.0072,No,No
0002.02.0072.02,0002.02.0072,No,No
0002.02.0073.01,0002.02.0073,No,No
0002.02.0073.02,0002.02.0073,No,No
0002.02.0074.01,0002.02.0074,No,No
0002.02.0074.02,0002.02.0074,No,No
0002.02.0075.01,0002.02.0075,No,No
0002.02.0075.02,0002.02.0075,No,No
0002.02.0076.01,0002.02.0076,No,No
0002.02.0076.02,0002.02.0076,No,No
0002.02.0077,0002.02.0077,No,No
0002.02.0078,0002.02.0078,No,No
0002.02.0079,0002.02.0079,No,No
0002.02.0080,0002.02.0080,No,No
0002.02.0081,0002.02.0081,No,No
0002.02.0082,0002.02.0082,No,No
0002.02.0083,0002.02.0083,No,No
0002.02.0084,0002.02.0084,No,No
0002.02.0085,0002.02.0085,No,No
0002.02.0086,0002.02.0086,No,No
0002.02.0087,0002.02.0087,No,No
0002.03.0001.01,0002.03.0001,No,No
0002.03.0001.02,0002.03.0001,No,No
0002.03.0002.01,0002.03.0002,No,No
0002.03.0002.02,0002.03.0002,No,No
0002.03.0003.01,0002.03.0003,No,No
0002.03.0003.02,0002.03.0003,No,No
0002.03.0004.01,0002.03.0004,No,No
0002.03.0004.02,0002.03.0004,No,No
0002.03.0005.01,0002.03.0005,No,No
0002.03.0005.02,0002.03.0005,No,No
0002.03.0006.01,0002.03.0006,No,No
0002.03.0006.02,0002.03.0006,No,No
0002.03.0007.01,0002.03.0007,No,No
0002.03.0007.02,0002.03.0007,No,No
0002.03.0008,0002.03.0008,No,No
0002.03.0009,0002.03.0009,No,No
0002.03.0010,0002.03.0010,No,No
0002.03.0011,0002.03.0011,No,No
0002.03.0012,0002.03.0012,No,No
0002.03.0013,0002.03.0013,No,No
0002.03.0014,0002.03.0014,No,No
0002.03.0015,0002.03.0015,No,No
0002.04.0001.01,0002.04.0001,No,No
0002.04.0001.02,0002.04.0001,No,No
0002.04.0002.01,0002.04.0002,No,No
0002.04.0002.02,0002.04.0002,No,No
0002.04.0003.01,0002.04.0003,No,No
0002.04.0003.02,0002.04.0003,No,No
0002.04.0004.01,0002.04.0004,No,No
0002.04.0004.02,0002.04.0004,No,No
0002.04.0005.01,0002.04.0005,No,No
0002.04.0005.02,0002.04.0005,No,No
0002.04.0006.01,0002.04.0006,No,No
0002.04.0006.02,0002.04.0006,No,No
0002.04.0007.01,0002.04.0007,No,No
0002.04.0007.02,0002.04.0007,No,No
0002.04.0008.01,0002.04.0008,No,No
0002.04.0008.02,0002.04.0008,No,No
0002.04.0009,0002.04.0009,No,No
0002.04.0010.01,0002.04.0010,No,No
0002.04.0010.02,0002.04.0010,No,No
0002.04.0011.01,0002.04.0011,No,No
0002.04.0011.02,0002.04.0011,No,No
0002.04.0012.01,0002.04.0012,No,No
0002.04.0012.02,0002.04.0012,No,No
0002.04.0013.01,0002.04.0013,No,No
0002.04.0013.02,0002.04.0013,No,No
0002.04.0014.01,0002.04.0014,No,No
0002.04.0014.02,0002.04.0014,No,No
0002.04.0015.01,0002.04.0015,No,No
0002.04.0015.02,0002.04.0015,No,No
0002.04.0016.01,0002.04.0016,No,No
0002.04.0016.02,0002.04.0016,No,No
0002.04.0017.01,0002.04.0017,No,No
0002.04.0017.02,0002.04.0017,No,No
0002.04.0018.01,0002.04.0018,No,No
0002.04.0018.02,0002.04.0018,No,No
0002.04.0019.01,0002.04.0019,No,No
0002.04.0019.02,0002.04.0019,No,No
0002.04.0020.01,0002.04.0020,No,No
0002.04.0020.02,0002.04.0020,No,No
0002.04.0021,0002.04.0021,No,No
0002.04.0022.01,0002.04.0022,No,No
0002.04.0022.02,0002.04.0022,No,No
0002.04.0023.01,0002.04.0023,No,No
0002.04.0023.02,0002.04.0023,No,No
0002.04.0024.01,0002.04.0024,No,No
0002.04.0024.02,0002.04.0024,No,No
0002.04.0025.01,0002.04.0025,No,No
0002.04.0025.02,0002.04.0025,No,No
0002.04.0026,0002.04.0026,No,No
0002.04.0027,0002.04.0027,No,No
0002.04.0028,0002.04.0028,No,No
0002.04.0029,0002.04.0029,No,No
0002.04.0030,0002.04.0030,No,No
0002.04.0031,0002.04.0031,No,No
0002.04.0032,0002.04.0032,No,No
0002.04.0033,0002.04.0033,No,No
0002.04.0034,0002.04.0034,No,No
0002.04.0035,0002.04.0035,No,No
0002.04.0036,0002.04.0036,No,No
0002.04.0037,0002.04.0037,No,No
0002.04.0038,0002.04.0038,No,No
0002.04.0039,0002.04.0039,No,No
0002.05.0001,0002.05.0001,No,No
0002.05.0002,0002.05.0002,No,No
0002.05.0003,0002.05.0003,No,No
0002.05.0004,0002.05.0004,No,No
0002.05.0005,0002.05.0005,No,No
0002.05.0006,0002.05.0006,No,No
0002.05.0007,0002.05.0007,No,No
0002.05.0008,0002.05.0008,No,No
0002.05.0009,0002.05.0009,No,No
0002.05.0010,0002.05.0010,No,No
0002.05.0011,0002.05.0011,No,No
0002.05.0012,0002.05.0012,No,No
0002.05.0013,0002.05.0013,No,No
0002.05.0014,0002.05.0014,No,No
0002.05.0015,0002.05.0015,No,No
0002.05.0016,0002.05.0016,No,No
0002.05.0017,0002.05.0017,No,No
0002.05.0018,0002.05.0018,No,No
0002.05.0019,0002.05.0019,No,No
0002.05.0020,0002.05.0020,No,No
0002.05.0021,0002.05.0021,No,No
0002.05.0022,0002.05.0022,No,No
0002.05.0023,0002.05.0023,No,No
0002.05.0024.01,0002.05.0024,No,No
0002.05.0024.02,0002.05.0024,No,No
0002.05.0025,0002.05.0025,No,No
0002.05.0026.01,0002.05.0026,No,No
0002.05.0026.02,0002.05.0026,No,No
0002.05.0027.01,0002.05.0027,No,No
0002.05.0027.02,0002.05.0027,No,No
0002.05.0028.01,0002.05.0028,No,No
0002.05.0028.02,0002.05.0028,No,No
0002.05.0029.01,0002.05.0029,No,No
0002.05.0029.02,0002.05.0029,No,No
0002.05.0030.01,0002.05.0030,No,No
0002.05.0030.02,0002.05.0030,No,No
0002.05.0031,0002.05.0031,No,No
0002.05.0032.01,0002.05.0032,No,No
0002.05.0032.02,0002.05.0032,No,No
0002.05.0033,0002.05.0033,No,No
0002.05.0034,0002.05.0034,No,No
0002.05.0035,0002.05.0035,No,No
0002.05.0036,0002.05.0036,No,No
0002.05.0037,0002.05.0037,No,No
0002.05.0038,0002.05.0038,No,No
0002.05.0039,0002.05.0039,No,No
0002.05.0040,0002.05.0040,No,No
0002.05.0041,0002.05.0041,No,No
0002.05.0042,0002.05.0042,No,No
0002.05.0043,0002.05.0043,No,No
0002.05.0044,0002.05.0044,No,No
0002.05.0045,0002.05.0045,No,No
0002.05.0046,0002.05.0046,No,No
0002.05.0047,0002.05.0047,No,No
0002.05.0048,0002.05.0048,No,No
0002.05.0049,0002.05.0049,No,No
0002.05.0050,0002.05.0050,No,No
0002.05.0051,0002.05.0051,No,No
0002.06.0001,0002.06.0001,No,No
0002.06.0002,0002.06.0002,No,No
0002.06.0003,0002.06.0003,No,No
0002.06.0004,0002.06.0004,No,No
0002.06.0005,0002.06.0005,No,No
0002.06.0006,0002.06.0006,No,No
0002.06.0007,0002.06.0007,No,No
0002.06.0008,0002.06.0008,No,No
0002.06.0009,0002.06.0009,No,No
0002.06.0010,0002.06.0010,No,No
0002.06.0011.01,0002.06.0011,No,No
0002.06.0011.02,0002.06.0011,No,No
0002.06.0012.01,0002.06.0012,No,No
0002.06.0012.02,0002.06.0012,No,No
0002.06.0012.03,0002.06.0012,No,No
0002.06.0012.04,0002.06.0012,No,No
0002.06.0013,0002.06.0013,No,No
0002.06.0014,0002.06.0014,No,No
0002.06.0015,0002.06.0015,No,No
0002.06.0016,0002.06.0016,No,No
0002.06.0017,0002.06.0017,No,No
0002.06.0018,0002.06.0018,No,No
0002.06.0019,0002.06.0019,No,No
0002.06.0020.01,0002.06.0020,No,No
0002.06.0020.02,0002.06.0020,No,No
0002.06.0022.01,0002.06.0022,No,No
0002.06.0022.02,0002.06.0022,No,No
0002.06.0023.01,0002.06.0023,No,No
0002.06.0023.02,0002.06.0023,No,No
0002.06.0024.01,0002.06.0024,No,No
0002.06.0024.02,0002.06.0024,No,No
0002.06.0025,0002.06.0025,No,No
0002.06.0026,0002.06.0026,No,No
0002.06.0027,0002.06.0027,No,No
0002.06.0028,0002.06.0028,No,No
0002.06.0029,0002.06.0029,No,No
0002.06.0030,0002.06.0030,No,No
0002.06.0031,0002.06.0031,No,No
0002.06.0032,0002.06.0032,No,No
0002.06.0033,0002.06.0033,No,No
0002.06.0034,0002.06.0034,No,No
0002.06.0035,0002.06.0035,No,No
0002.06.0036,0002.06.0036,No,No
0002.06.0037,0002.06.0037,No,No
0002.06.0038,0002.06.0038,No,No
0002.06.0039.01,0002.06.0039,No,No
0002.06.0039.02,0002.06.0039,No,No
0002.06.0040,0002.06.0040,No,No
0002.06.0041.01,0002.06.0041,No,No
0002.06.0041.02,0002.06.0041,No,No
0002.06.0042,0002.06.0042,No,No
0002.06.0043,0002.06.0043,No,No
0002.06.0044,0002.06.0044,No,No
0002.06.0045,0002.06.0045,No,No
0002.06.0046,0002.06.0046,No,No
0002.06.0047,0002.06.0047,No,No
0002.06.0048,0002.06.0048,No,No
0002.06.0049,0002.06.0049,No,No
0002.06.0050,0002.06.0050,No,No
0002.06.0051.01,0002.06.0051,No,No
0002.06.0051.02,0002.06.0051,No,No
0002.06.0052,0002.06.0052,No,No
0002.06.0053,0002.06.0053,No,No
0002.06.0054.01,0002.06.0054,No,No
0002.06.0054.02,0002.06.0054,No,No
0002.06.0055.01,0002.06.0055,No,No
0002.06.0055.02,0002.06.0055,No,No
0002.06.0056,0002.06.0056,No,No
0002.06.0057.01,0002.06.0057,No,No
0002.06.0057.02,0002.06.0057,No,No
0002.06.0058.01,0002.06.0058,No,No
0002.06.0058.02,0002.06.0058,No,No
0002.06.0059.01,0002.06.0059,No,No
0002.06.0059.02,0002.06.0059,No,No
0002.06.0060,0002.06.0060,No,No
0002.06.0061,0002.06.0061,No,No
0002.06.0062,0002.06.0062,No,No
0002.06.0063,0002.06.0063,No,No
0002.06.0064,0002.06.0064,No,No
0002.06.0065,0002.06.0065,No,No
0002.06.0066,0002.06.0066,No,No
0002.06.0067,0002.06.0067,No,No
0002.06.0068,0002.06.0068,No,No
0002.06.0069,0002.06.0069,No,No
0002.06.0070,0002.06.0070,No,No
0002.06.0071,0002.06.0071,No,No
0002.06.0072,0002.06.0072,No,No
0002.06.0073,0002.06.0073,No,No
0002.06.0074,0002.06.0074,No,No
0002.06.0075,0002.06.0075,No,No
0002.06.0076,0002.06.0076,No,No
0002.06.0077,0002.06.0077,No,No
0002.06.0078,0002.06.0078,No,No
0002.06.0079,0002.06.0079,No,No
0002.06.0080,0002.06.0080,No,No
0002.06.0081,0002.06.0081,No,No
0002.06.0082,0002.06.0082,No,No
0002.06.0083,0002.06.0083,No,No
0002.06.0084,0002.06.0084,No,No
0002.06.0085,0002.06.0085,No,No
0002.06.0086,0002.06.0086,No,No
0002.06.0087,0002.06.0087,No,No
0002.06.0088,0002.06.0088,No,No
0002.06.0089,0002.06.0089,No,No
0002.06.0090.01,0002.06.0090,No,No
0002.06.0090.02,0002.06.0090,No,No
0002.06.0091.01,0002.06.0091,No,No
0002.06.0091.02,0002.06.0091,No,No
0002.06.0092,0002.06.0092,No,No
0002.06.0093,0002.06.0093,No,No
0002.06.0094,0002.06.0094,No,No
0002.06.0095,0002.06.0095,No,No
0002.06.0096,0002.06.0096,No,No
0002.06.0097,0002.06.0097,No,No
0002.06.0098,0002.06.0098,No,No
0002.06.0099,0002.06.0099,No,No
0002.06.0100,0002.06.0100,No,No
0002.06.0101,0002.06.0101,No,No
0002.06.0102.01,0002.06.0102,No,No
0002.06.0102.02,0002.06.0102,No,No
0002.06.0103.01,0002.06.0103,No,No
0002.06.0103.02,0002.06.0103,No,No
0002.06.0104,0002.06.0104,No,No
0002.06.0105,0002.06.0105,No,No
0002.06.0106,0002.06.0106,No,No
0002.06.0107,0002.06.0107,No,No
0002.06.0108,0002.06.0108,No,No
0002.06.0109,0002.06.0109,No,No
0002.06.0110,0002.06.0110,No,No
0002.06.0111.01,0002.06.0111,No,No
0002.06.0111.02,0002.06.0111,No,No
0002.06.0111.03,0002.06.0111,No,No
0002.06.0111.04,0002.06.0111,No,No
0002.06.0111.05,0002.06.0111,No,No
0002.06.0112.01,0002.06.0112,No,No
0002.06.0112.02,0002.06.0112,No,No
0002.06.0113.01,0002.06.0113,No,No
0002.06.0113.02,0002.06.0113,No,No
0002.06.0114.01,0002.06.0114,No,No
0002.06.0114.02,0002.06.0114,No,No
0002.06.0115.01,0002.06.0115,No,No
0002.06.0115.02,0002.06.0115,No,No
0002.06.0116.01,0002.06.0116,No,No
0002.06.0116.02,0002.06.0116,No,No
0002.06.0117.01,0002.06.0117,No,No
0002.06.0117.02,0002.06.0117,No,No
0002.06.0118.01,0002.06.0118,No,No
0002.06.0118.02,0002.06.0118,No,No
0002.06.0119.01,0002.06.0119,No,No
0002.06.0119.02,0002.06.0119,No,No
0002.06.0120.01,0002.06.0120,No,No
0002.06.0120.02,0002.06.0120,No,No
0002.06.0121.01,0002.06.0121,No,No
0002.06.0121.02,0002.06.0121,No,No
0002.06.0122.01,0002.06.0122,No,No
0002.06.0122.02,0002.06.0122,No,No
0002.06.0123.01,0002.06.0123,No,No
0002.06.0123.02,0002.06.0123,No,No
0002.06.0124.01,0002.06.0124,No,No
0002.06.0124.02,0002.06.0124,No,No
0002.06.0125.01,0002.06.0125,No,No
0002.06.0125.02,0002.06.0125,No,No
0002.06.0126.01,0002.06.0126,No,No
0002.06.0126.02,0002.06.0126,No,No
0002.06.0127.01,0002.06.0127,No,No
0002.06.0127.02,0002.06.0127,No,No
0002.06.0128.01,0002.06.0128,No,No
0002.06.0128.02,0002.06.0128,No,No
0002.06.0129.01,0002.06.0129,No,No
0002.06.0129.02,0002.06.0129,No,No
0002.06.0130.01,0002.06.0130,No,No
0002.06.0130.02,0002.06.0130,No,No
0002.06.0131.01,0002.06.0131,No,No
0002.06.0131.02,0002.06.0131,No,No
0002.06.0132.01,0002.06.0132,No,No
0002.06.0132.02,0002.06.0132,No,No
0002.06.0133.01,0002.06.0133,No,No
0002.06.0133.02,0002.06.0133,No,No
0002.06.0134.01,0002.06.0134,No,No
0002.06.0134.02,0002.06.0134,No,No
0002.06.0135.01,0002.06.0135,No,No
0002.06.0135.02,0002.06.0135,No,No
0002.06.0136.01,0002.06.0136,No,No
0002.06.0136.02,0002.06.0136,No,No
0002.06.0137.01,0002.06.0137,No,No
0002.06.0137.02,0002.06.0137,No,No
0002.06.0138.01,0002.06.0138,No,No
0002.06.0138.02,0002.06.0138,No,No
0002.06.0139.01,0002.06.0139,No,No
0002.06.0139.02,0002.06.0139,No,No
0002.06.0140.01,0002.06.0140,No,No
0002.06.0140.02,0002.06.0140,No,No
0002.06.0141.01,0002.06.0141,No,No
0002.06.0141.02,0002.06.0141,No,No
0002.06.0142.01,0002.06.0142,No,No
0002.06.0142.02,0002.06.0142,No,No
0002.06.0143.01,0002.06.0143,No,No
0002.06.0143.02,0002.06.0143,No,No
0002.06.0144.01,0002.06.0144,No,No
0002.06.0144.02,0002.06.0144,No,No
0002.06.0145.01,0002.06.0145,No,No
0002.06.0145.02,0002.06.0145,No,No
0002.06.0146.01,0002.06.0146,No,No
0002.06.0146.02,0002.06.0146,No,No
0002.06.0147.01,0002.06.0147,No,No
0002.06.0147.02,0002.06.0147,No,No
0002.06.0148.01,0002.06.0148,No,No
0002.06.0148.02,0002.06.0148,No,No
0002.06.0149.01,0002.06.0149,No,No
0002.06.0149.02,0002.06.0149,No,No
0002.06.0150.01,0002.06.0150,No,No
0002.06.0150.02,0002.06.0150,No,No
0002.06.0151.01,0002.06.0151,No,No
0002.06.0151.02,0002.06.0151,No,No
0002.06.0152.01,0002.06.0152,No,No
0002.06.0152.02,0002.06.0152,No,No
0002.06.0153.01,0002.06.0153,No,No
0002.06.0153.02,0002.06.0153,No,No
0002.06.0154.01,0002.06.0154,No,No
0002.06.0154.02,0002.06.0154,No,No
0002.06.0155.01,0002.06.0155,No,No
0002.06.0155.02,0002.06.0155,No,No
0002.06.0156.01,0002.06.0156,No,No
0002.06.0156.02,0002.06.0156,No,No
0002.06.0157.01,0002.06.0157,No,No
0002.06.0157.02,0002.06.0157,No,No
0002.06.0158.01,0002.06.0158,No,No
0002.06.0158.02,0002.06.0158,No,No
0002.06.0159.01,0002.06.0159,No,No
0002.06.0159.02,0002.06.0159,No,No
0002.06.0160.01,0002.06.0160,No,No
0002.06.0160.02,0002.06.0160,No,No
0002.06.0161.01,0002.06.0161,No,No
0002.06.0161.02,0002.06.0161,No,No
0002.06.0162.01,0002.06.0162,No,No
0002.06.0162.02,0002.06.0162,No,No
0002.06.0163.01,0002.06.0163,No,No
0002.06.0163.02,0002.06.0163,No,No
0002.06.0164.01,0002.06.0164,No,No
0002.06.0164.02,0002.06.0164,No,No
0002.06.0165.01,0002.06.0165,No,No
0002.06.0165.02,0002.06.0165,No,No
0002.06.0166.01,0002.06.0166,No,No
0002.06.0166.02,0002.06.0166,No,No
0002.06.0167.01,0002.06.0167,No,No
0002.06.0167.02,0002.06.0167,No,No
0002.06.0168.01,0002.06.0168,No,No
0002.06.0168.02,0002.06.0168,No,No
0002.06.0169.01,0002.06.0169,No,No
0002.06.0169.02,0002.06.0169,No,No
0002.06.0170.01,0002.06.0170,No,No
0002.06.0170.02,0002.06.0170,No,No
0002.06.0171.01,0002.06.0171,No,No
0002.06.0171.02,0002.06.0171,No,No
0002.06.0172.01,0002.06.0172,No,No
0002.06.0172.02,0002.06.0172,No,No
0002.06.0173.01,0002.06.0173,No,No
0002.06.0173.02,0002.06.0173,No,No
0002.06.0174.01,0002.06.0174,No,No
0002.06.0174.02,0002.06.0174,No,No
0002.06.0175.01,0002.06.0175,No,No
0002.06.0175.02,0002.06.0175,No,No
0002.06.0176.01,0002.06.0176,No,No
0002.06.0176.02,0002.06.0176,No,No
0002.06.0177.01,0002.06.0177,No,No
0002.06.0177.02,0002.06.0177,No,No
0002.06.0178.01,0002.06.0178,No,No
0002.06.0178.02,0002.06.0178,No,No
0002.06.0179.01,0002.06.0179,No,No
0002.06.0179.02,0002.06.0179,No,No
0002.06.0180.01,0002.06.0180,No,No
0002.06.0180.02,0002.06.0180,No,No
0002.06.0181.01,0002.06.0181,No,No
