csv file,row number,error message
0126.csv,212,"Error getting dimensions for https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/7/5/21382_ca_object_representations_media_107538_original.jpg: Image size (200510508 pixels) exceeds limit of 178956970 pixels, could be decompression bomb DOS attack."
0126.csv,212,"Error getting dimensions for https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/7/5/21382_ca_object_representations_media_107538_original.jpg: Image size (200510508 pixels) exceeds limit of 178956970 pixels, could be decompression bomb DOS attack."
